student_id,name,age,gender,score,phone,city,email,date_of_join,course,attendance,status,gpa,remarks,money_spent,event_time,address_raw,adr_city,adr_district,adr_postal,hobbies,skills,family,devices
20,Anthony Hardy,20,Male,90,6692728730,Kimport,,20/05/1973 19:05,Data Science,65,Pending,4.5,Excellent,218,,"Masontown 10-kv, dom 21, Tashkent",Tashkent,Masontown 10-kv,,"certainly, defense","tech: python=5, excel=2, sql=4 | soft: medical, quality","siblings: 4 | income: father=1220, mother=1220",type: laptop | brand: Lenovo | year: 2018; type: phone | brand: Apple | year: 2019
21,Hector Beltran,20,Male,52,,North Harry,preid@hotmail.com,02/02/2010 00:00,Data Science,110,Active,15.5,Good,153,31/03/1983 17:15,,,,,,,,
22,Tara Nguyen,22,Unknown,73,388742999,Brittanychester,rrodriguez@newman.com,04/06/2000 17:46,Python,78,Inactive,4.5,Excellent,174,26/11/2020 00:00,UZ 100063 Tashkent Lake Shaneland,Tashkent,,100063,"create, accept","tech: python=1, excel=3, sql=1 | soft: new, manager","siblings: 3 | income: father=1140, mother=1117",type: laptop | brand: Dell | year: 2016; type: phone | brand: Xiaomi | year: 2018
23,Jessica Robinson,22,Male,90,11697150937,Jonesfurt,,10/05/2010 12:48,Data Science,81,Inactive,3.7,Good,261,09/06/2005 00:00,"0451 James Cliffs Suite 725, Wagnermouth",Wagnermouth,,,"type, beautiful",,,
24,Latoya Williams,18,Male,60,,North Ashleyborough,,06/08/2021 11:33,Data Science,110,Pending,3.7,Excellent,148,,"0258 Sean Keys Apt. 380, Kevinfort",Kevinfort,,,"step, section","tech: python=1, excel=5, sql=3 | soft: beat, popular","siblings: 0 | income: father=1376, mother=871",type: laptop | brand: Dell | year: 2022; type: phone | brand: Xiaomi | year: 2019
25,,21,Unknown,90,,Donnaview,urodriguez@ferrell.com,08/03/2025 00:00,Data Science,100,Pending,15.5,Excellent,135,16/07/2000 13:07,"06462 Buck Springs Apt. 169, North Lisa",North Lisa,,06462,"phone, consider","tech: python=1, excel=3, sql=2 | soft: must, around","siblings: 0 | income: father=1453, mother=206",type: laptop | brand: Lenovo | year: 2019; type: phone | brand: Xiaomi | year: 2020
26,,21,Female,90,,Harrisbury,,,Data Science,96,Pending,15.5,Good,299,12/02/2001 00:00,"Apartment 20, Lake Crystal district, Tashkent, UZ, 100119",Tashkent,Lake Crystal district,100119,"tough, role","tech: python=3, excel=1, sql=2 | soft: south, his","siblings: 1 | income: father=623, mother=577",type: laptop | brand: Dell | year: 2022; type: phone | brand: Apple | year: 2019
27,Emily Cummings,22,Female,59,,East Dariuston,,,Python,100,Inactive,1.18,Average,245,24/12/2000 00:42,"Apartment 27, South David district, Tashkent, UZ, 100696",Tashkent,South David district,100696,"billion, feeling","tech: python=3, excel=1, sql=3 | soft: thought, particularly","siblings: 4 | income: father=303, mother=1245",type: laptop | brand: Lenovo | year: 2023; type: phone | brand: Samsung | year: 2023
28,Brandy Powell,20,Unknown,87,4042330292,Oconnellburgh,benjamincollins@davis.info,27/07/2000 00:00,Python,107,Inactive,5.08,Excellent,285,31/07/2014 11:40,,,,,"energy, however","tech: python=2, excel=1, sql=3 | soft: either, plan","siblings: 4 | income: father=1105, mother=1106",type: laptop | brand: Lenovo | year: 2023; type: phone | brand: Samsung | year: 2022
29,,21,Male,88,5211681029,West Rachel,elizabeth49@yahoo.com,19/09/2014 00:00,Data Science,100,Inactive,5.08,,295,20/05/1992 00:00,"241 Sarah Spring, Bridgetton",Bridgetton,,,,,,
30,Jaime Rowe,19,Female,69,468929598,Shepardmouth,eolson@carr.net,29/01/1972 01:01,Data Science,64,Pending,3.7,Average,294,,"Port Robertstad 16-kv, dom 50, Tashkent",Tashkent,Port Robertstad 16-kv,,"woman, wear","tech: python=4, excel=5, sql=3 | soft: reduce, than","siblings: 4 | income: father=1291, mother=913",type: laptop | brand: Lenovo | year: 2024; type: phone | brand: Xiaomi | year: 2019
31,Brianna Castro,21,Unknown,90,,East Regina,,13/10/2007 09:29,Data Science,110,Pending,2,Average,63,12/09/1970 00:00,,,,,,,,
32,April Johnson,20,Male,90,548293587,Andersontown,daniel21@hotmail.com,,Python,110,Active,2,Good,289,21/04/2022 06:18,"Apartment 42, Christineburgh district, Tashkent, UZ, 100686",Tashkent,Christineburgh district,100686,"material, relate","tech: python=5, excel=3, sql=3 | soft: against, history","siblings: 4 | income: father=1124, mother=1323",type: laptop | brand: Dell | year: 2023; type: phone | brand: Apple | year: 2018
33,Joyce Franklin,20,Female,60,6180905816,South Brittany,,29/06/2000 21:16,Data Science,66,Inactive,15.5,Excellent,57,31/05/1982 00:00,"New Antonio 12-kv, dom 41, Tashkent",Tashkent,New Antonio 12-kv,,"run, case","tech: python=4, excel=2, sql=3 | soft: rock, never","siblings: 4 | income: father=1009, mother=1369",type: laptop | brand: Dell | year: 2022; type: phone | brand: Xiaomi | year: 2020
34,,20,Female,80,,Hillmouth,,24/05/1983 00:00,Data Science,67,Active,3.7,Excellent,172,08/06/1975 00:00,UZ 100883 Tashkent West Michaelport,Tashkent,,100883,"decide, least","tech: python=5, excel=5, sql=2 | soft: mouth, laugh","siblings: 4 | income: father=763, mother=1393",type: laptop | brand: HP | year: 2019; type: phone | brand: Samsung | year: 2020
35,,22,Female,80,3565523035,North Maryfort,,25/01/2008 20:03,Data Science,110,Pending,2,,136,30/08/1998 02:53,UZ 100652 Tashkent Lake Donaldton,Tashkent,,100652,,,,
36,,22,Unknown,87,8930217782,North Gerald,,11/11/2018 00:00,Python,110,Inactive,15.5,Average,202,18/12/2024 00:00,"North Amy 11-kv, dom 49, Tashkent",Tashkent,North Amy 11-kv,,"stay, even","tech: python=3, excel=5, sql=3 | soft: generation, group","siblings: 1 | income: father=219, mother=1344",type: laptop | brand: Dell | year: 2017; type: phone | brand: Apple | year: 2021
37,Jeremy Fry,18,Female,90,7731802562,New Kent,mccoyandrew@yahoo.com,,Data Science,110,Pending,4.5,Average,157,04/02/1971 00:00,"Apartment 49, New Ian district, Tashkent, UZ, 100606",Tashkent,New Ian district,100606,"score, bar",,,
38,Christopher Sosa,20,Male,90,1386481737,New Aliceland,,12/08/2022 00:00,Data Science,67,Active,5.08,Excellent,242,17/02/1970 19:58,"Apartment 22, Youngton district, Tashkent, UZ, 100192",Tashkent,Youngton district,100192,"art, learn","tech: python=3, excel=2, sql=3 | soft: write, alone","siblings: 2 | income: father=1354, mother=448",type: laptop | brand: Lenovo | year: 2024; type: phone | brand: Samsung | year: 2020
39,David Duke,20,Female,80,5266776949,Harrishaven,baguilar@hotmail.com,26/09/2004 00:00,Python,110,Active,5.08,Excellent,159,25/05/2022 01:20,UZ 100766 Tashkent Port William,Tashkent,,100766,"challenge, trouble",,,
40,Sara Page,20,Female,71,,West William,edgar27@phillips-martin.info,,Python,110,Inactive,5.08,,140,06/10/1993 00:00,"73317 Timothy Port Suite 163, Dicksonbury",Dicksonbury,,73317,"imagine, middle","tech: python=3, excel=4, sql=4 | soft: begin, movement","siblings: 5 | income: father=270, mother=255",type: laptop | brand: Lenovo | year: 2020; type: phone | brand: Apple | year: 2021
41,,19,Male,80,,West Georgefort,,17/12/1975 00:00,Data Science,100,Active,15.5,Average,225,,"4613 Robert Cliff Suite 875, South Leslie",South Leslie,,,"particular, turn","tech: python=1, excel=4, sql=2 | soft: trip, toward","siblings: 5 | income: father=1364, mother=1312",type: laptop | brand: HP | year: 2017; type: phone | brand: Xiaomi | year: 2019
42,Mark Smith,19,Male,90,,West Morganchester,,09/12/1980 00:00,Data Science,81,Inactive,2,Excellent,255,06/06/1980 03:12,"Apartment 17, Port Kristopherberg district, Tashkent, UZ, 100563",Tashkent,Port Kristopherberg district,100563,,,,
43,Amanda Myers,19,Female,90,6981153243,North Christopherborough,hoganandrew@hotmail.com,,Data Science,110,Pending,2,Average,140,09/02/1990 05:03,UZ 100515 Tashkent North Joseph,Tashkent,,100515,"professional, necessary","tech: python=5, excel=4, sql=2 | soft: recent, tend","siblings: 1 | income: father=1134, mother=1304",type: laptop | brand: Dell | year: 2018; type: phone | brand: Apple | year: 2021
44,Eric George,18,Male,93,,Nathanborough,cynthia47@oneill.com,,Python,100,Inactive,5.08,Good,205,,UZ 100297 Tashkent North Candace,Tashkent,,100297,"official, begin",,,
45,,20,Unknown,83,,Duncanfort,someone@gmail.com,,Data Science,110,Active,0,Excellent,135,21/11/2022 00:00,"Annahaven 19-kv, dom 3, Tashkent",Tashkent,Annahaven 19-kv,,"finish, true","tech: python=4, excel=2, sql=2 | soft: enter, response","siblings: 5 | income: father=778, mother=355",type: laptop | brand: Lenovo | year: 2021; type: phone | brand: Xiaomi | year: 2022
46,Brandi Jones,20,Male,80,,Ramirezborough,lawrence93@robinson-davis.com,03/02/1989 04:53,Data Science,92,Inactive,15.5,,172,22/05/1975 00:00,,,,,"raise, let","tech: python=1, excel=5, sql=2 | soft: tell, compare","siblings: 3 | income: father=209, mother=1191",type: laptop | brand: Dell | year: 2016; type: phone | brand: Apple | year: 2021
47,John Robinson,19,Unknown,51,,Port Tracy,wallacerandy@bradshaw.com,,Data Science,100,Active,15.5,Average,166,25/04/1994 00:00,UZ 100626 Tashkent East Williamport,Tashkent,,100626,"above, even","tech: python=3, excel=2, sql=5 | soft: minute, view","siblings: 4 | income: father=1127, mother=1111",type: laptop | brand: HP | year: 2020; type: phone | brand: Apple | year: 2022
48,Suzanne Meyer,20,Male,95,,South Joshua,bartlettchristy@perez-strickland.com,21/09/1972 00:00,Data Science,110,Active,5.08,,144,20/01/1976 00:00,"6637 Michelle Unions Apt. 959, Erikfort",Erikfort,,,"do, property","tech: python=3, excel=1, sql=4 | soft: parent, raise","siblings: 1 | income: father=709, mother=1006",type: laptop | brand: Dell | year: 2015; type: phone | brand: Apple | year: 2024
49,,18,Female,90,12718094741,Lake Michael,ablair@gomez.com,,Data Science,81,Active,2,Average,225,19/09/1992 00:00,"00607 Alvarez Circles Suite 553, North Benjamin",North Benjamin,,00607,"wonder, strong",,,
50,Justin Wong,18,Female,90,108099177,Travisfort,,03/02/1970 13:13,Data Science,110,Active,3.7,Average,164,16/02/1995 00:00,"Apartment 28, East Andrew district, Tashkent, UZ, 100090",Tashkent,East Andrew district,100090,"decide, continue","tech: python=4, excel=4, sql=3 | soft: these, could","siblings: 3 | income: father=204, mother=506",type: laptop | brand: Lenovo | year: 2016; type: phone | brand: Samsung | year: 2024
51,James Davis,20,Female,61,,New Emilyshire,,09/02/2014 00:00,Data Science,100,Inactive,3.7,Average,132,07/04/1995 00:00,UZ 100391 Tashkent Lake Amy,Tashkent,,100391,"prove, central",,,
52,Mitchell Conway,19,Female,63,5709119906,Lake Louis,,13/06/1994 04:13,Data Science,100,Inactive,2,,205,,,,,,"painting, tough","tech: python=4, excel=5, sql=2 | soft: hour, series","siblings: 3 | income: father=543, mother=1003",type: laptop | brand: Dell | year: 2015; type: phone | brand: Apple | year: 2020
53,,20,Female,88,7808691118,West Lindsayview,dclark@boyd.info,25/06/2012 00:00,Data Science,110,Inactive,3.7,Average,251,31/03/1990 00:00,UZ 100232 Tashkent Annabury,Tashkent,,100232,"least, question",,,
54,Heather Moreno,19,Female,83,4389178289,South Jasmine,woodsanna@wilkinson-glenn.info,25/07/2025 00:00,Data Science,100,Pending,5.08,Excellent,221,16/01/2024 00:00,"Christown 6-kv, dom 20, Tashkent",Tashkent,Christown 6-kv,,"leave, effect","tech: python=3, excel=5, sql=5 | soft: six, reduce","siblings: 1 | income: father=581, mother=302",type: laptop | brand: Dell | year: 2020; type: phone | brand: Apple | year: 2020
55,Todd Moore,21,Male,80,15174942230,Richardview,schmidtregina@gmail.com,29/04/1999 21:01,Data Science,110,Inactive,0,Excellent,51,22/03/1998 03:51,"Apartment 40, West Davidhaven district, Tashkent, UZ, 100291",Tashkent,West Davidhaven district,100291,"save, most",,,
56,,21,Female,90,,Katelynton,dominguezerin@solis.org,,Python,100,Inactive,4.5,,298,14/07/1980 00:00,"Apartment 42, South Charles district, Tashkent, UZ, 100904",Tashkent,South Charles district,100904,"where, game","tech: python=4, excel=2, sql=1 | soft: per, detail","siblings: 1 | income: father=602, mother=1380",type: laptop | brand: Lenovo | year: 2019; type: phone | brand: Samsung | year: 2022
57,Ashley Lowe,20,Female,90,15016900671,Robertshire,zvargas@chapman.org,08/02/2025 09:46,Data Science,100,Inactive,5.08,Average,236,02/01/2023 00:00,"87807 Kayla Glens, Autumnmouth",Autumnmouth,,87807,,,,
58,Eric Holmes,18,Male,57,14219273279,West Tricia,,13/03/2001 12:56,Data Science,80,Pending,15.5,Excellent,160,21/05/2020 00:00,"682 Vasquez Expressway Suite 699, West Nicolechester",West Nicolechester,,,"recognize, between","tech: python=5, excel=2, sql=2 | soft: image, leg","siblings: 5 | income: father=1178, mother=1209",type: laptop | brand: Lenovo | year: 2021; type: phone | brand: Xiaomi | year: 2020
59,Nathan Melendez,20,Female,75,2671082545,Wheelerport,,20/06/1971 00:00,Data Science,100,Active,4.5,Average,65,19/09/1970 00:00,"Apartment 9, Laurabury district, Tashkent, UZ, 100798",Tashkent,Laurabury district,100798,"offer, president",,,
60,Brett Cabrera,20,Unknown,90,,Port Carlos,,,Data Science,100,Active,15.5,Excellent,121,29/01/1972 00:00,"East Elizabethhaven 9-kv, dom 15, Tashkent",Tashkent,East Elizabethhaven 9-kv,,,,,
61,William Moore,20,Female,93,5428357188,Port Juanland,,07/05/2010 00:00,Data Science,100,Inactive,3.2,Average,50,05/06/1983 05:46,"6258 Gordon Road, Smithshire",Smithshire,,,"painting, kid","tech: python=1, excel=4, sql=2 | soft: fill, growth","siblings: 5 | income: father=964, mother=1178",type: laptop | brand: Lenovo | year: 2017; type: phone | brand: Samsung | year: 2024
62,Margaret Lopez,20,Male,90,5189848100,East Caitlinfurt,ogarcia@hahn.net,04/02/1980 04:04,Python,106,Active,4.07,,183,,,,,,"others, one","tech: python=3, excel=5, sql=2 | soft: enjoy, test","siblings: 5 | income: father=946, mother=741",type: laptop | brand: HP | year: 2024; type: phone | brand: Samsung | year: 2018
63,William Olsen,22,Female,90,12075891183,East Sophia,someone@gmail.com,13/11/1995 00:00,Data Science,100,Inactive,3.72,Excellent,138,21/04/1999 00:00,"9057 Griffin Heights, Rasmussenside",Rasmussenside,,,,,,
64,,19,Female,90,,Christopherborough,,15/12/2014 00:00,Python,100,Active,4.5,Good,97,16/04/2011 00:00,,,,,"stock, management","tech: python=3, excel=5, sql=1 | soft: move, bar","siblings: 3 | income: father=786, mother=987",type: laptop | brand: HP | year: 2020; type: phone | brand: Samsung | year: 2018
65,Randall Heath,18,Male,90,3463736033,Deleonside,someone@gmail.com,,Python,65,Pending,4.5,Average,105,02/10/1985 00:00,"Apartment 7, Lutzfort district, Tashkent, UZ, 100220",Tashkent,Lutzfort district,100220,"position, stuff","tech: python=3, excel=4, sql=1 | soft: two, economy","siblings: 5 | income: father=527, mother=408",type: laptop | brand: HP | year: 2021; type: phone | brand: Xiaomi | year: 2023
66,,20,Male,90,1149895033,North Markbury,nrichard@carney.com,29/03/2012 00:00,Data Science,99,Inactive,4.5,Average,274,24/12/2016 09:42,"67890 Conrad Walks, East Tannermouth",East Tannermouth,,67890,"shake, behind","tech: python=3, excel=4, sql=5 | soft: what, happy","siblings: 5 | income: father=1227, mother=564",type: laptop | brand: Dell | year: 2017; type: phone | brand: Apple | year: 2019
67,Ashley Mills,19,Female,90,,Youngside,someone@gmail.com,27/07/2012 00:00,Data Science,100,Pending,5.08,Excellent,276,04/06/1991 04:44,,,,,"share, fly","tech: python=2, excel=5, sql=3 | soft: floor, question","siblings: 0 | income: father=1427, mother=1378",type: laptop | brand: Lenovo | year: 2017; type: phone | brand: Xiaomi | year: 2022
68,John Rosario,18,Female,82,7590895599,Belindabury,,20/07/1971 08:45,Data Science,100,Inactive,2,Good,190,02/08/1990 14:57,"Apartment 1, North Adammouth district, Tashkent, UZ, 100059",Tashkent,North Adammouth district,100059,"result, current","tech: python=3, excel=1, sql=4 | soft: return, address","siblings: 5 | income: father=1037, mother=1043",type: laptop | brand: HP | year: 2021; type: phone | brand: Apple | year: 2022
69,,21,Unknown,80,,Jenniferfort,,,Data Science,109,Inactive,5.08,Average,209,11/08/2001 00:00,,,,,,,,
70,,18,Female,66,9773285987,Lake Josephville,nathaniel54@lloyd.biz,31/10/2002 12:03,Data Science,110,Pending,4.5,Excellent,88,13/06/2012 19:49,"Port Lisa 17-kv, dom 46, Tashkent",Tashkent,Port Lisa 17-kv,,"ahead, force","tech: python=5, excel=1, sql=1 | soft: where, responsibility","siblings: 5 | income: father=658, mother=561",type: laptop | brand: Lenovo | year: 2022; type: phone | brand: Apple | year: 2023
71,Robert Hayes,19,Male,80,7804085623,Tabithafurt,teresa05@collins.biz,,Python,63,Pending,5.08,Excellent,103,27/09/1996 00:00,"Benitezmouth 14-kv, dom 38, Tashkent",Tashkent,Benitezmouth 14-kv,,"lead, toward","tech: python=1, excel=2, sql=3 | soft: through, water","siblings: 5 | income: father=494, mother=1415",type: laptop | brand: HP | year: 2018; type: phone | brand: Xiaomi | year: 2019
72,William Weiss,19,Female,78,3361875307,Williamfort,someone@gmail.com,,Data Science,100,Active,15.5,,57,15/11/1977 00:00,"313 Ayala Point, East Nicholas",East Nicholas,,,,,,
73,,18,Female,90,,Smithville,scampbell@mendez.biz,18/12/1993 00:00,Data Science,100,Inactive,3.19,Good,117,06/05/2001 00:00,,,,,"majority, week",,,
74,Brandi Reed,18,Male,90,,Port Randallberg,stacy11@yahoo.com,05/09/1990 00:00,Python,89,Pending,3.7,Excellent,176,28/07/2013 22:26,,,,,,,,
75,,22,Female,98,9936950828,East Shelly,lsmith@gmail.com,,Data Science,100,Active,2.71,Average,200,02/03/2006 10:39,,,,,"dark, exist","tech: python=5, excel=1, sql=4 | soft: store, position","siblings: 0 | income: father=294, mother=207",type: laptop | brand: Lenovo | year: 2021; type: phone | brand: Samsung | year: 2019
76,Anthony Hendricks,19,Unknown,80,17956166147,Figueroamouth,,19/07/2000 00:00,Data Science,110,Inactive,5.08,,117,,UZ 100760 Tashkent Millermouth,Tashkent,,100760,"particular, lead",,,
77,Alexa Sanders,21,Male,73,3477475643,Lake Randymouth,johnsonchelsea@yahoo.com,20/12/1986 00:00,Data Science,100,Active,0,Excellent,256,18/07/2021 00:00,"034 Cooley Way, East Ian",East Ian,,,,,,
78,,18,Male,95,,Romeroville,,25/12/2017 12:00,Python,100,Active,4.5,Good,217,04/02/1989 00:00,,,,,,,,
79,Garrett Taylor,20,Female,80,7688655394,Martinezfort,,18/11/2005 17:34,Data Science,89,Active,0,Excellent,225,07/11/1974 16:09,UZ 100510 Tashkent Andrewmouth,Tashkent,,100510,,,,
80,Brandy Gray,19,Male,90,12947806766,Andrewborough,ballen@barber-saunders.com,11/04/1986 00:00,Data Science,105,Active,4.49,Average,266,12/07/2025 00:00,UZ 100622 Tashkent Aarontown,Tashkent,,100622,"back, carry",,,
81,Donna Scott,19,Female,80,16075366003,Lake Timfort,alicia71@robles.com,30/11/1996 17:12,Data Science,110,Active,2,Excellent,65,29/03/2015 18:51,UZ 100720 Tashkent Lake Hollytown,Tashkent,,100720,"participant, spring",,,
82,Karen Baker Md,19,Female,60,,Kristinabury,paul48@brown.com,10/09/1974 00:00,Data Science,110,Active,3.7,Average,68,,UZ 100855 Tashkent Lake Tyler,Tashkent,,100855,"garden, possible","tech: python=1, excel=4, sql=4 | soft: after, similar","siblings: 4 | income: father=349, mother=536",type: laptop | brand: Dell | year: 2019; type: phone | brand: Samsung | year: 2022
83,,18,Female,90,9768338760,Ayershaven,someone@gmail.com,15/04/1995 05:21,Data Science,102,Inactive,15.5,Good,172,03/09/2000 00:00,"Apartment 18, Tarafurt district, Tashkent, UZ, 100739",Tashkent,Tarafurt district,100739,"actually, commercial","tech: python=1, excel=3, sql=5 | soft: example, defense","siblings: 1 | income: father=1111, mother=456",type: laptop | brand: HP | year: 2023; type: phone | brand: Apple | year: 2023
84,Michael Jenkins,18,Female,68,8644135870,New Brenda,mcolon@gmail.com,25/11/2002 00:00,Data Science,110,Inactive,2,Average,284,09/04/2008 00:00,,,,,"collection, single","tech: python=4, excel=4, sql=1 | soft: expect, fall","siblings: 5 | income: father=675, mother=1465",type: laptop | brand: Dell | year: 2020; type: phone | brand: Apple | year: 2019
85,,21,Male,75,925477688,New Nicoleside,someone@gmail.com,08/10/1996 21:47,Data Science,100,Inactive,2,Excellent,95,31/05/1994 00:00,"33084 Williams Point, Jesusborough",Jesusborough,,33084,"trial, place",,,
86,Mario Ramirez,22,Unknown,90,,Deannachester,zford@parker.info,,Python,110,Pending,0,,111,09/03/1984 07:06,,,,,"buy, now",,,
87,Kyle Doyle,20,Female,80,,Powersland,,27/11/2001 00:00,Data Science,100,Inactive,5.08,,66,02/05/2016 00:00,"South Jacobview 25-kv, dom 42, Tashkent",Tashkent,South Jacobview 25-kv,,"example, break","tech: python=3, excel=4, sql=3 | soft: PM, structure","siblings: 4 | income: father=491, mother=426",type: laptop | brand: Lenovo | year: 2024; type: phone | brand: Xiaomi | year: 2018
88,Hannah Montes,21,Unknown,80,,South Thomas,,18/07/2008 06:10,Python,68,Active,3.81,,110,,UZ 100240 Tashkent Charlesshire,Tashkent,,100240,"dream, forward","tech: python=5, excel=5, sql=2 | soft: like, clear","siblings: 5 | income: father=626, mother=1045",type: laptop | brand: Dell | year: 2018; type: phone | brand: Apple | year: 2023
89,James Weaver,22,Female,80,4800269976,West Jonathan,,09/04/2000 11:39,Python,110,Pending,5.08,,149,,"Apartment 8, South Christina district, Tashkent, UZ, 100031",Tashkent,South Christina district,100031,"anything, catch","tech: python=1, excel=2, sql=2 | soft: like, how","siblings: 4 | income: father=503, mother=394",type: laptop | brand: Dell | year: 2019; type: phone | brand: Apple | year: 2020
